S. No,Br. No ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
946,2013,18-Jun-15,59407,Emd and SD,EMD and SD,Wali J.B.,J¸ï.r ªÉÆvÀÛ ºÀÄ. «. ªÁqÀđ. £ÀA:36gÀ°èAiÀÄ vÁjºÁ¼À UÁæªÀÄzÀ°è M¼ÀgÀ¸ÉÛUÀ½UÉ qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.,SD Bill of Development of road at ward no:36 Tarihal Gram.,19-Jun-15,40551,20-Jun-15,40551
947,2014,18-Jun-15,59408,Emd and SD,EMD and SD,Wali J.B.,E.JªÀiï.r ªÉÆvÀÛ ºÀÄ. «. ªÁqÀđ. £ÀA:36gÀ°èAiÀÄ vÁjºÁ¼À UÁæªÀÄzÀ°è M¼ÀgÀ¸ÉÛUÀ½UÉ qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.,EMD Bill of Development of road at ward no:36 Tarihal Gram.,19-Jun-15,21935,20-Jun-15,21935
948,2038,19-Jun-15,59409,Emd and SD,EMD and SD,Wali J.B.,J¸ï.r ªÉÆvÀÛ ºÀÄ. «. ªÁqÀđ. £ÀA:36gÀ°èAiÀÄ fvÀÆj ¥Áèl ¸ÀAvÉ §AiÀÄ®zÀ°è qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.,SD Bill of Development of road at ward no:36 Jituri plot near market road.,19-Jun-15,6426,20-Jun-15,6426
949,2039,19-Jun-15,59410,Emd and SD,EMD and SD,Wali J.B.,E.JªÀiï.r ªÉÆvÀÛ ºÀÄ. «. ªÁqÀđ. £ÀA:36gÀ°èAiÀÄ fvÀÆj ¥Áèl ¸ÀAvÉ §AiÀÄ®zÀ°è qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.,EMD Bill of Development of road at ward no:36 Jituri plot near market road.,19-Jun-15,2870,20-Jun-15,2870
950,1704,09-Jun-15,72633,Emd and SD,EMD and SD,Shekhbade Shakeel Ahmed,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀđ £ÀA. 46gÀ FdÄUÉÆĂ¼ÀzÀ §½ EgÀÄªÀ PÉ.JZï ¥ÁnĂ® EªÀgÀ ¥ÀÄvÀÜ½UÉ §tÚ ºÀZÀÄÑªÀÅzÀÄ ºÁUÀÆ ¸ÀÄvÀÛ®Æ ¹¹ ¥É«AUÀ ¤ªÀiÁđt,Refund  SD Bill,19-Jun-15,3874,20-Jun-15,3874
951,1705,09-Jun-15,72634,Emd and SD,EMD and SD,Shekhbade Shakeel Ahmed,ºÀÄ§â½î «¨sÁUÀzÀ ªÁqÀđ £ÀA. 46gÀ FdÄUÉÆĂ¼ÀzÀ §½ EgÀÄªÀ PÉ.JZï ¥ÁnĂ® EªÀgÀ ¥ÀÄvÀÜ½UÉ §tÚ ºÀZÀÄÑªÀÅzÀÄ ºÁUÀÆ ¸ÀÄvÀÛ®Æ ¹¹ ¥É«AUÀ ¤ªÀiÁđt,Refund EMD  bill.,19-Jun-15,2435,20-Jun-15,2435
952,2856,14-Jul-15,73266,Emd and SD,EMD and SD,Chikkayyanavar Shivappa S,zsÁ.«.ªÁqÀđ £ÀA 12 gÀ ¨sÁªÀ¸ÁgÀ PÀ¯Áåt ªÀÄAl¥ÀzÀ »AzÀÄUÀqÉ. ¯ÉÊ£À §eÁgÀ ºÀ£ÀÄªÀiÁ£À ªÀÄA¢gÀ. ºÁUÀÆ ªÀiÁ¼Á¥ÀÆgÀ ºÀwÛgÀ vÉgÉzÀ ¨Á«UÉ ºÉÆ¼ÀÄ vÉUÉAiÀÄÄªÀzÀÄ.,Regarding Lakes Work At Bhavasar Kalayb Mantap Back Side. & Line Bazar Hanuman Temple & Malapur. in ward no 12( SD Amount-1710/-),15-Jul-15,1710,16-Jul-15,1710
953,2857,14-Jul-15,73267,Emd and SD,EMD and SD,Chikkayyanavar Shivappa S,"zsÁ.«.ªÁqÀđ £ÀA 12 gÀ ¨sÁªÀ¸ÁgÀ PÀ¯Áåt ªÀÄAl¥ÀzÀ ""»AzÀÄUÀqÉ. ¯ÉÊ£À §eÁgÀ ºÀ£ÀÄªÀiÁ£À ªÀÄA¢gÀ. ºÁUÀÆ ªÀiÁ¼Á¥ÀÆgÀ ºÀwÛgÀ vÉgÉzÀ ¨Á""UÉ ºÉÆ¼ÀÄ vÉUÉAiÀÄÄªÀzÀÄ.",Regarding Lakes Work At Bhavasar Kalayb Mantap Back Side. & Line Bazar Hanuman Temple & Malapur. in ward no 12( EMD Amount-855/-),15-Jul-15,855,16-Jul-15,855
954,2854,14-Jul-15,73270,Emd and SD,EMD and SD,Chikkayyanavar Shivappa S,"zsÁ.«.ªÁqÀđ £ÀA 5 gÀ JwÛ£ÀUÀÄqÀØ UÁæªÀÄ PÉgÉAiÀÄ ºÀwÛgÀ, PÀÄªÀiÁgÉĂ±ÀégÀ £ÀUÀgÀ, ªÀiÁ¼Á¥ÀÆgÀ d£ÀvÁ ¥Áèl ¤ªÀÄđ® ±ËZÁ®AiÀÄ ºÀwÛgÀ, ¸ÉÊzÁ¥ÀÆgÀ PÀ¯ÉäĂ±ÀégÀ UÀÄJE ºÀwÛgÀ ¨sÁ¸ÁgÀ ªÀÄAUÀ® PÁAiÀiÁđ®AiÀÄ ±Á¹Ûç ZÁ¼","Regarding  Well work At Ethingudda Gram, Kumareshwar Nagar, Malapur Janath Plot, Saidapur Near Kalmeshwar Temple, Bavasar Kalyan Mantap, in ward no 5 (SD Amount- 4132)",15-Jul-15,4132,16-Jul-15,4132
955,2855,14-Jul-15,73272,Emd and SD,EMD and SD,Chikkayyanavar Shivappa S,"zsÁ.«.ªÁqÀđ £ÀA 5 gÀ JwÛ£ÀUÀÄqÀØ UÁæªÀÄ PÉgÉAiÀÄ ºÀwÛgÀ, PÀÄªÀiÁgÉĂ±ÀégÀ £ÀUÀgÀ, ªÀiÁ¼Á¥ÀÆgÀ d£ÀvÁ ¥Áèl ¤ªÀÄđ® ±ËZÁ®AiÀÄ ºÀwÛgÀ, ¸ÉÊzÁ¥ÀÆgÀ PÀ¯ÉäĂ±ÀégÀ UÀÄJE ºÀwÛgÀ ¨sÁ¸ÁgÀ ªÀÄAUÀ® PÁAiÀiÁđ®AiÀÄ ±Á¹Ûç ZÁ¼","Regarding  Well work At Ethingudda Gram, Kumareshwar Nagar, Malapur Janath Plot, Saidapur Near Kalmeshwar Temple, Bavasar Kalyan Mantap, in ward no 5( EMD Amount -2100/-)",15-Jul-15,2100,16-Jul-15,2100
956,2858,14-Jul-15,73262,Emd and SD,EMD and SD,Chikkayyanavar Shivanad S,zsÁ.«.ªÁ £ÀA 12 dÄå§° ªÀÈvÀÛzÀ ºÀwÛgÀ DgÀhiÁzÀ¥ÁPÀđ gÀ¸ÉÛ Q¯Áè & PÀªÀÄ¯Á¥ÀÄgÀ  gÀ¸ÉÛUÀ¼À°è ZÀgÀArUÀ½UÉ  PÁAQæĂl ¥ÁåZÀ ºÁPÀÄªÀzÀÄ.,"Providing and laying Concrete patches near Jublie Circle on azad park road, killa & kamalapur road of Dharwad. (SD Amount- 1178/-)",15-Jul-15,1178,16-Jul-15,1178
957,2859,14-Jul-15,73264,Emd and SD,EMD and SD,Chikkayyanavar Shivanad S,zsÁ.«.ªÁ £ÀA 12 dÄå§° ªÀÈvÀÛzÀ ºÀwÛgÀ DgÀhiÁzÀ¥ÁPÀđ gÀ¸ÉÛ Q¯Áè & PÀªÀÄ¯Á¥ÀÄgÀ  gÀ¸ÉÛUÀ¼À°è ZÀgÀArUÀ½UÉ  PÁAQæĂl ¥ÁåZÀ ºÁPÀÄªÀzÀÄ.,"Providing and laying Concrete patches near Jublie Circle on azad park road, killa & kamalapur road of Dharwad. ( EMD Amount- 589/-)",15-Jul-15,589,16-Jul-15,589
958,2994,20-Jul-15,73331,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 02gÀ ²æĂgÀAUÀ ªÀiÁUÀđ £ÁgÁAiÀÄt¥ÀÆgÀ gÀ¸ÉÛ qÀÄªÀÄUÉĂj NtÂ ¸ÉÊzÁ¥ÀÆgÀ EvÀgÉĂ gÀ¸ÉÛUÀ¼À°è UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ PÁæ¸ï PÀlÖUÀ¼À£ÀÄß ªÀÄÄZÀÄÑªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of road work in Narayanpur Dumgeri Saidapur etc in ward no 02  Dharwad,23-Jul-15,2099,25-Jul-15,2099
959,2993,20-Jul-15,73330,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 02gÀ ²æĂgÀAUÀ ªÀiÁUÀđ £ÁgÁAiÀÄt¥ÀÆgÀ gÀ¸ÉÛUÀ¼ÀÄ qÀÄªÀÄUÉĂj ¸ÉÊzÁ¥ÀÆgÀ gÀ¸ÉÛ C±ÉÆĂPÀ £ÀUÀgÀ ±ÁAw¤PÉĂvÀ£À gÀ¸ÉÛ ¸ÀAvÉÆĂ±À £ÀUÀgÀ gÀ¸ÉÛUÀ¼À°è UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ PÁæ¸ï PÀmïUÀ¼À£ÀÄß ªÀÄÄZÀÄÑªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of ward no 02 shrirang marg narayanpur etc Dharwad,23-Jul-15,1050,25-Jul-15,1050
960,2986,20-Jul-15,73333,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 14gÀ AiÀÄÄ©»¯ï 1£ÉĂ PÁæ¸ï¢AzÀ 3£ÉĂ PÀgÁ¸ï »A¢£À ¨sÀAV ¯ÉÊ£ïzÀ°è M¼ÀZÀgÀAr ¯ÉÊ£ï ºÁQ ZÉĂA§gÀ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of construction drain in U B hill 1st cross to 3rd cross ward no 14 Dharwad,23-Jul-15,4740,25-Jul-15,4740
961,2985,20-Jul-15,73332,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 14gÀ AiÀÄÄ©»¯ï 1£ÉĂ PÁæ¸ï¢AzÀ 3£ÉĂ PÀgÁ¸ï »A¢£À ¨sÀAV ¯ÉÊ£ïzÀ°è M¼ÀZÀgÀAr ¯ÉÊ£ï ºÁQ ZÉĂA§gÀ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of construction drain in U B hill 1st cross to 3rd cross ward no 14 Dharwad,23-Jul-15,2370,25-Jul-15,2370
962,2987,20-Jul-15,73340,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 14gÀ°è J«ÄäPÉĂj gÀ¸ÉÛ gÉÊ¯ÉéĂ PÀ¯Áåt ªÀÄAl¥À ºÀwÛgÀ gÁAiÀÄgÀªÀÄoÀ gÀ¸ÉÛ ªÀiÁ¼ÀªÀÄrØ«ÄaUÀ£ï PÀA¥ËAqÀ ¥ÁAqÀÄgÀAV D¸ÀàvÉæ gÀ¸ÉÛUÀ¼À°è£À UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ ¥ÉÆvÀ ºÉÆĂ®́UÀ¼À£ÀÄß zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of repair road work in emmikeri rayaramath malamddi michigun compound pandurangi hospital ets ward no 17 Dharwad,23-Jul-15,2248,25-Jul-15,2248
963,2988,20-Jul-15,73341,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 14gÀ°è J«ÄäPÉĂj gÀ¸ÉÛ gÉÊ¯ÉéĂ PÀ¯Áåt ªÀÄAl¥À ºÀwÛgÀ gÁAiÀÄgÀªÀÄoÀ gÀ¸ÉÛ ªÀiÁ¼ÀªÀÄrØ«ÄaUÀ£ï PÀA¥ËAqÀ ¥ÁAqÀÄgÀAV D¸ÀàvÉæ gÀ¸ÉÛUÀ¼À°è£À UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ ¥ÉÆvÀ ºÉÆĂ®́UÀ¼À£ÀÄß zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of repair road work in emmikeri rayaramath malamddi michigun compound pandurangi hospital ets ward no 17 Dharwad,23-Jul-15,1125,25-Jul-15,1125
964,2990,20-Jul-15,73339,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 17gÀ°è ¥ÀªÀ£À ¸ÀÆ̀¯ï gÀ¸ÉÛ ±ÁAw¸ÀzÀ£À gÀ¸ÉÛ gÁªÀÄ£ÀUÀgÀ PÀ¯Áåt £ÀUÀgÀ ºÀ£ÀÄªÀÄAvÀ £ÀUÀgÀ £ÀªÉÇĂzÀAiÀÄ £ÀUÀgÀ gÀ¸ÉÛUÀ¼À°è£À UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ ¥ÉÆvÀ ºÉÆĂ®́UÀ¼À£ÀÄß zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of repair road work in pavan school shantisadan ramanagar kayan nagar navoday nagar ets ward no 17 Dharwad,23-Jul-15,4834,25-Jul-15,4834
965,2989,20-Jul-15,73338,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 17gÀ°è ¥ÀªÀ£À ¸ÀÆ̀¯ï gÀ¸ÉÛ ±ÁAw¸ÀzÀ£À gÀ¸ÉÛ gÁªÀÄ£ÀUÀgÀ PÀ¯Áåt £ÀUÀgÀ ºÀ£ÀÄªÀÄAvÀ £ÀUÀgÀ £ÀªÉÇĂzÀAiÀÄ £ÀUÀgÀ gÀ¸ÉÛUÀ¼À°è£À UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ ¥ÉÆvÀ ºÉÆĂ®́UÀ¼À£ÀÄß zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of repair road work in pavan school shantisadan ramanagar kayan nagar navoday nagar ets ward no 17 Dharwad,23-Jul-15,2425,25-Jul-15,2425
966,2992,20-Jul-15,73347,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 1gÀ°è ²æĂ£ÀUÀgÀ ¹DAiÀiïn© PÁ®¤ gÁzsÁPÀÈµÀÚ £ÀUÀgÀ ±ÀđjĂ£ÀUÀgÀ ¸ÀPÀđ¯ï gÀ¸ÉÛUÀ¼À°èAiÀÄ UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ PÁæ¸ï PÀmïUÀ¼À£ÀÄß ªÀÄÄZÀÄÑªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of repair cross cut road work in Shrinagar CITB colony Shakti colony RK Nagar ets ward no 17 Dharwad,23-Jul-15,2646,25-Jul-15,2646
967,2991,20-Jul-15,73346,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 1gÀ°è ²æĂ£ÀUÀgÀ ¹DAiÀiïn© PÁ®¤ gÁzsÁPÀÈµÀÚ £ÀUÀgÀ ±ÀđjĂ£ÀUÀgÀ ¸ÀPÀđ¯ï gÀ¸ÉÛUÀ¼À°èAiÀÄ UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ PÁæ¸ï PÀmïUÀ¼À£ÀÄß ªÀÄÄZÀÄÑªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of repair cross cut road work in Shrinagar CITB colony Shakti colony RK Nagar ets ward no 17 Dharwad,23-Jul-15,1325,25-Jul-15,1325
968,2980,20-Jul-15,73349,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 1gÀ°è £ÉºÀgÀÆ £ÀUÀgÀzÀ°è ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£À vÀÄvÀÄđ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of repair of samuday bhavan in Nehru nagar ward no 17 Dharwad,23-Jul-15,3524,25-Jul-15,3524
969,2979,20-Jul-15,73348,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 1gÀ°è £ÉºÀgÀÆ £ÀUÀgÀzÀ°è ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£À vÀÄvÀÄđ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of repair of samuday bhavan in Nehru nagar ward no 17 Dharwad,23-Jul-15,1762,25-Jul-15,1762
970,2982,20-Jul-15,73344,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 01gÀ°è £ÉºÀgÀÆ £ÀUÀgÀzÀ°è ¤gÁ²ævÀjUÁV ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£ÀPÉ̀ ¤ĂgÀÄ ¸ÀgÀ§gÁdÄ ªÀåªÀ¸ÉÜ ºÁUÀÆ ¸ÀÄtÚ §tÚ ºÀZÀÄÑªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of applying paint in nehru nagar samuday Bhavan in ward no 01 Dharwad,23-Jul-15,4268,25-Jul-15,4268
971,2981,20-Jul-15,73345,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 01gÀ°è £ÉºÀgÀÆ £ÀUÀgÀzÀ°è ¤gÁ²ævÀjUÁV ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£ÀPÉ̀ ¤ĂgÀÄ ¸ÀgÀ§gÁdÄ ªÀåªÀ¸ÉÜ ºÁUÀÆ ¸ÀÄtÚ §tÚ ºÀZÀÄÑªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of samudai bhavan at nehru nagar,23-Jul-15,2134,25-Jul-15,2134
972,2984,20-Jul-15,73329,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 02gÀ ±ÁAw¤PÉĂvÀ£À £ÀUÀgÀ ªÀÄvÀUÀmÉÖ ¸ÀASÉå 4J £ÉĂzÀƯgÀ°è gÁåA¥ï C¼ÀªÀr¸ÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of construction ramp in ward no 02 Shantiniketan Nagar Dharwad,23-Jul-15,628,25-Jul-15,628
973,2983,20-Jul-15,73328,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 02gÀ ±ÁAw¤PÉĂvÀ£À £ÀUÀgÀ ªÀÄvÀUÀmÉÖ ¸ÀASÉå 4J £ÉĂzÀƯgÀ°è gÁåA¥ï C¼ÀªÀr¸ÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of construction ramp in ward no 02 Shantiniketan Nagar Dharwad,23-Jul-15,315,25-Jul-15,315
974,2978,20-Jul-15,73335,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 01gÀ°è gÉªÉ£ÀÆå PÁ®¤ ªÀÄÄRå gÀ¸ÉÛ ²æĂ CgÀ§ ªÀÄ£É ºÀwÛgÀ CrUÁ®ÄªÉzÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of construction drain in revenue colony near Shri arab house ward no 01 Dharwad,23-Jul-15,996,25-Jul-15,996
975,2977,20-Jul-15,73334,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 01gÀ°è gÉªÉ£ÀÆå PÁ®¤ ªÀÄÄRå gÀ¸ÉÛ ²æĂ CgÀ§ ªÀÄ£É ºÀwÛgÀ CrUÁ®ÄªÉ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of construction drain in revenue colony near Shri arab house ward no 01 Dharwad,23-Jul-15,500,25-Jul-15,500
976,2998,20-Jul-15,73337,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 14gÀ dAiÀÄ£ÀUÀgÀ d£ÀvÁ ¥À¯Ál ¤¥ÁàtÂ ªÀÄ£É ºÀwÛgÀ vÉgÉzÀ ZÀgÀAr zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of repair open drain in jayanagar janata plot near Nippani house ward no 01 Dharwad,23-Jul-15,4622,25-Jul-15,4622
977,2997,20-Jul-15,73336,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 14gÀ dAiÀÄ£ÀUÀgÀ d£ÀvÁ ¥À¯Ál ¤¥ÁàtÂ ªÀÄ£É ºÀwÛgÀ vÉgÉzÀ ZÀgÀAr zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of repair open drain in jayanagar janata plot near Nippani house ward no 01 Dharwad,23-Jul-15,2375,25-Jul-15,2375
978,2996,20-Jul-15,73343,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 13gÀ°è PÀ£ÁđlPÀ PÁ¯ÉĂd UÉĂmï »A¢ ¥ÀæZÁgÀ ¸À¨sÁ ¸ÀPÀđ¯ï dAiÀÄ£ÀUÀgÀ PÁæ¸ï ªÀgÉUÉ ¨sÁgÀw £ÀUÀgÀ EvÀgÉĂ ¥ÀæªÀÄÄR gÀ¸ÉÛUÀ¼À°èAiÀÄ UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ PÁæ¸ï PÀmïUÀ¼À£ÀÄß ªÀÄÄZÀÄÑªÀzÀÄ J¸ïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding SD refund of repair cross cut road work in karnataka college gate hindi prachar sabha circle jayanagar cross ets ward no 17 Dharwad,23-Jul-15,1647,25-Jul-15,1647
979,2995,20-Jul-15,73342,Emd and SD,EMD and SD,Kempasannavar .B.S.,zsÁ«ªÁ£ÀA 13gÀ°è PÀ£ÁđlPÀ PÁ¯ÉĂd UÉĂmï »A¢ ¥ÀæZÁgÀ ¸À¨sÁ ¸ÀPÀđ¯ï dAiÀÄ£ÀUÀgÀ PÁæ¸ï ªÀgÉUÉ ¨sÁgÀw £ÀUÀgÀ EvÀgÉĂ ¥ÀæªÀÄÄR gÀ¸ÉÛUÀ¼À°èAiÀÄ UÀÄArUÀ¼À£ÀÄß ºÁUÀÆ PÁæ¸ï PÀmïUÀ¼À£ÀÄß ªÀÄÄZÀÄÑªÀzÀÄ EJªÀiïr ºÀt ªÀÄgÀÄ¸ÀAzÁAiÀÄ,Regarding EMD refund of repair cross cut road work in karnataka college gate hindi prachar sabha circle jayanagar cross ets ward no 17 Dharwad,23-Jul-15,825,25-Jul-15,825
980,3074,23-Jul-15,73556,Emd and SD,EMD and SD,Namazi Mohammedabrar Madarsab,ºÀÄ.«.ªÁqÀđ £ÀA 47gÀ ¥Á°PÉAiÀÄ DªÀgÀtzÀ°ègÀÄªÀ jhÄ.©ü «ÄĂnAUï ºÁ®Ư°ègÀÄªÀ PÀÄađUÀ½UÉ ºÁUÀÆ PÀ«ÄĂn PÀZÉĂjUÀ¼À°ègÀÄªÀ ¸ÉÆĂ¥sÁUÀ½UÉ PÁl£ï §mÉÖAiÀÄ PÀªÀgÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Refund of  SD of Rs 4775.00 Regarding HDMC GB Meetting Hall work in ward no 47 Hubli Division.,24-Jul-15,4775,25-Jul-15,4775
981,3075,23-Jul-15,73557,Emd and SD,EMD and SD,Namazi Mohammedabrar Madarsab,ºÀÄ.«.ªÁqÀđ £ÀA 47gÀ ¥Á°PÉAiÀÄ DªÀgÀtzÀ°ègÀÄªÀ jhÄ.©ü «ÄĂnAUï ºÁ®Ư°ègÀÄªÀ PÀÄađUÀ½UÉ ºÁUÀÆ PÀ«ÄĂn PÀZÉĂjUÀ¼À°ègÀÄªÀ ¸ÉÆĂ¥sÁUÀ½UÉ PÁl£ï §mÉÖAiÀÄ PÀªÀgÀUÀ¼À£ÀÄß C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Refund of  EMD of Rs2400.00 Regarding HDMC GB Meetting Hall work in ward no 47 Hubli Division.,24-Jul-15,2400,25-Jul-15,2400
982,3076,23-Jul-15,73489,Emd and SD,EMD and SD,Subharaju S Chiluvuri,ºÀÄ.«.ªÁqÀđ £ÀA 47gÀ ¥Á°PÉAiÀÄ DªÀgÀtzÀ°ègÀÄªÀ f.©.«ÄĂnAUï ºÁ®ß mÉĂ§®UÀ½UÉ ¸À£ï ªÉÄÊPÀ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Refund of SD of Rs 4860.00 Regarding HDMC JB Metting Hall Maintenance work in ward no 47 Hubli Division,24-Jul-15,4860,25-Jul-15,4860
983,3077,23-Jul-15,73491,Emd and SD,EMD and SD,Subharaju S Chiluvuri,ºÀÄ.«.ªÁqÀđ £ÀA 47gÀ ¥Á°PÉAiÀÄ DªÀgÀtzÀ°ègÀÄªÀ f.©.«ÄĂnAUï ºÁ®ß mÉĂ§®UÀ½UÉ ¸À£ï ªÉÄÊPÀ C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Refund of EMD of Rs 2500.00 Regarding HDMC JB Metting Hall Maintenance work in ward no 47 Hubli Divi,24-Jul-15,2500,25-Jul-15,2500
984,3078,23-Jul-15,73497,Emd and SD,EMD and SD,Subharaju S Chiluvuri,ºÀÄ.«.ªÁqÀđ £ÀA 47 gÀ ¥Á°PÀAiÉÄ DªÀgÀtzÀ°ègÀÄªÀ eÉ.©. «ÄĂnAUï ºÁ®Uï §tÚ ºÀaÑ zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ.,Refund of SD Rs 4557.00 Regarding Muncipal Bulding work At HDMC Hubli Division in ward no 47,24-Jul-15,4557,25-Jul-15,4557
